Country,Territory,Unit,Precipitationdaily,Date
USA,United States,mm/h,0.08683922225909849,1-2021
USA,United States,mm/h,0.0898723779246211,2-2021
USA,United States,mm/h,0.09517554163692458,3-2021
USA,United States,mm/h,0.08292994772394498,4-2021
USA,United States,mm/h,0.10670013575544281,5-2021
USA,United States,mm/h,0.10773859651138386,6-2021
USA,United States,mm/h,0.1168921979204301,7-2021
USA,United States,mm/h,0.11781338698440982,8-2021
USA,United States,mm/h,0.09781976106266181,9-2021
USA,United States,mm/h,0.1178176659009149,10-2021
USA,United States,mm/h,0.058342435086766876,11-2021
USA,United States,mm/h,0.10139864226502757,12-2021
