Country,Territory,Unit,Humidexdailybypop,Date
USA,United States,C,3.010028297862699,1-2021
USA,United States,C,1.8348281455359288,2-2021
USA,United States,C,9.715795978423088,3-2021
USA,United States,C,14.10015598932902,4-2021
USA,United States,C,20.05851456426805,5-2021
USA,United States,C,28.93963883717855,6-2021
USA,United States,C,31.300410855200983,7-2021
USA,United States,C,31.71288182658534,8-2021
USA,United States,C,26.193404769897462,9-2021
USA,United States,C,19.776247485991448,10-2021
USA,United States,C,9.131243896484374,11-2021
USA,United States,C,8.188756277484279,12-2021
