features,spearman_correlation
DA_price,1.00000
price(h-1),0.97463
price(h-2),0.93575
price(h-24),0.87262
price(h-23),0.86301
price(h-25),0.85554
price(h-22),0.83718
price(h-26),0.82258
price(h-21),0.80394
price(h-49),0.78690
price(h-20),0.77006
price(h-168),0.74097
price(h-19),0.73918
avg_RT_price_prev_day,0.72159
nat_gas_spot_price,0.65334
load,0.55805
monthly_avg_NY_natgas_price,0.52796
load(h-1),0.52286
load(h-23),0.51833
load(h-22),0.51001
load(h-24),0.50327
load(h-168),0.49261
load(h-21),0.48105
load(h-2),0.47580
load(h-25),0.46871
avg_actual_load_prev_day,0.44719
load(h-20),0.43719
load(h-26),0.42250
load(h-49),0.41621
load(h-19),0.38482
business_hour,0.20653
month_cos,0.12878
weekday,0.12350
hour_sin,-0.18892
hour_cos,-0.20075
month_sin,-0.30516
